Entity,JavadocPackage,NewlineAtEndOfFile,Translation,FileLength,FileTabCharacter,RegexpSingleline,JavadocMethod,JavadocType,JavadocVariable,JavadocStyle,ConstantName,LocalFinalVariableName,LocalVariableName,MemberName,MethodName,PackageName,ParameterName,StaticVariableName,TypeName,AvoidStarImport,IllegalImport,RedundantImport,UnusedImports,LineLength,MethodLength,ParameterNumber,EmptyForIteratorPad,GenericWhitespace,MethodParamPad,NoWhitespaceAfter,NoWhitespaceBefore,OperatorWrap,ParenPad,TypecastParenPad,WhitespaceAfter,WhitespaceAround,ModifierOrder,RedundantModifier,AvoidNestedBlocks,EmptyBlock,LeftCurly,NeedBraces,RightCurly,AvoidInlineConditionals,EmptyStatement,EqualsHashCode,HiddenField,IllegalInstantiation,InnerAssignment,MagicNumber,MissingSwitchDefault,SimplifyBooleanExpression,SimplifyBooleanReturn,DesignFOrExtension,FinalClass,HideUtilityClassConstructor,InterfaceIsType,VisibilityModifier,ArrayTypeStyle,FinalParameters,TodoComment,UpperEll
app/src/net/sourceforge/squirrel_sql/client/action/ActionCollection.java,0,0,0,0,1,6,10,0,0,2,1,0,0,2,0,0,0,1,0,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,49,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
app/src/net/sourceforge/squirrel_sql/client/ApplicationArguments.java,1,0,0,0,1,7,4,0,9,2,0,0,0,6,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,7,0,0,1,0,0,1,1,0,0,0,31,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0
app/src/net/sourceforge/squirrel_sql/client/Application.java,0,0,0,0,1,30,21,0,11,2,1,0,0,20,0,0,0,1,0,1,0,0,0,135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,155,0,33,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,3,0
app/src/net/sourceforge/squirrel_sql/client/db/AliasGroupBeanInfo.java,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
app/src/net/sourceforge/squirrel_sql/client/db/AliasGroup.java,0,0,0,0,1,1,13,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/AboutBoxDialog.java,0,0,0,0,1,3,12,4,5,0,2,0,0,8,0,0,0,1,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,0,5,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,12,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/builders/DefaultFormBuilder.java,0,0,0,0,1,111,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/builders/I15dPanelBuilder.java,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/builders/SquirrelTabbedPane.java,0,0,0,0,1,1,4,1,4,0,0,0,0,4,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/builders/UIFactoryAdapter.java,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/builders/UIFactory.java,0,0,0,0,1,0,8,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/controls/DataTypesComboBox.java,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/AliasesListInternalFrame.java,0,0,0,0,1,4,16,1,5,0,1,0,0,6,0,0,0,0,0,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,44,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/AliasInternalFrame.java,0,0,0,0,1,6,16,3,2,2,2,0,0,14,0,0,0,0,0,1,0,0,1,67,0,0,0,0,0,1,0,0,0,0,150,1,2,0,0,0,67,0,7,0,0,0,0,0,0,85,0,0,0,0,0,0,1,1,0,21,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/AliasPropertiesInternalFrame.java,0,0,0,0,0,0,3,1,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,2,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/ColorPropertiesController.java,0,0,0,0,1,3,5,1,4,0,1,0,0,2,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/ColorPropertiesPanel.java,0,0,0,0,1,2,8,1,26,0,1,0,0,1,0,0,0,0,1,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,6,3,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,9,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/DriverPropertiesController.java,0,0,0,0,0,4,6,0,5,0,1,0,0,6,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/DriverPropertiesPanel.java,0,0,0,0,1,1,4,1,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,0,4,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/DriverPropertiesTable.java,0,0,0,0,1,0,7,3,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/DriverPropertiesTableModel.java,0,0,0,0,1,0,9,2,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/SchemaPropertiesController.java,0,0,0,0,0,1,14,2,15,0,2,0,0,9,0,0,0,0,0,2,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,53,0,9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/SchemaPropertiesPanel.java,0,0,0,0,0,0,3,1,12,0,1,0,0,0,0,0,0,0,0,2,0,0,0,41,0,0,0,0,0,0,0,0,0,0,170,2,0,0,0,0,4,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,11,0,0,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/SchemaTableCboItem.java,0,0,0,0,0,0,4,1,4,0,2,0,0,2,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/AliasWindowFactory.java,0,0,0,0,1,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/BaseListInternalFrame.java,0,0,0,0,1,2,13,2,3,0,1,0,0,5,0,0,0,1,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/BaseList.java,0,0,0,0,0,1,13,1,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/ColumnDetailDialog.java,0,0,0,0,0,118,22,3,45,0,1,0,0,1,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,25,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/ColumnListDialog.java,0,0,0,0,0,88,21,2,30,1,1,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,23,10,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,24,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/ConnectionInternalFrame.java,0,0,0,0,1,1,9,0,9,1,2,0,0,15,1,0,0,0,0,2,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,47,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/ConnectToAliasCallBack.java,0,0,0,0,0,0,7,1,4,0,2,0,0,2,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/DataCache.java,0,0,0,0,1,7,32,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,80,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/DriverInternalFrame.java,0,0,0,0,1,7,14,2,7,0,2,0,0,17,0,0,0,0,0,2,0,0,0,98,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,80,0,6,1,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0,17,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/DriversListInternalFrame.java,0,0,0,0,1,1,13,1,5,0,1,0,0,7,0,0,0,0,0,1,0,0,1,16,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,32,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/DriversList.java,0,0,0,0,1,1,8,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/DriverWindowFactory.java,0,0,0,0,1,2,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/JListAliasesListImpl.java,0,1,0,0,1,1,12,0,2,0,1,0,0,2,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
app/src/net/sourceforge/squirrel_sql/client/gui/db/JTreeAliasesListImpl.java,0,0,0,0,0,1,36,2,10,0,1,0,0,7,0,0,0,0,0,5,0,0,0,59,0,0,0,0,0,0,1,0,0,0,2,35,0,1,0,0,151,0,23,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,38,0,0
